"Tab id","Referer","Timestamp","Event","Element Id","X Path","Which","Extra Info"
"0","-","1623871435010","focusout","-","-","-","-"
"8","https://www.google.com/","1623871435010","mousedown","-","/html/1/body/2/div/1/header/5/div/5","1","-"
"8","https://www.google.com/","1623871435012","focusin","-","-","-","-"
"8","https://www.google.com/","1623871435013","focus","-","-","-","-"
"8","https://www.google.com/","1623871435013","focusin","-","-","-","-"
"8","https://www.google.com/","1623871435015","mouseup","-","/html/1/body/2/div/1/header/5/div/5","1","-"
"8","https://www.google.com/","1623871435022","click","-","/html/1/body/2/div/1/header/5/div/5","1","903x29|1003x170"
"8","https://www.google.com/","1623871435099","mousemove","-","/html/1/body/2/div/1/header/5/div/5","1","900x29|1001x170"
"8","https://www.google.com/","1623871435110","mousemove","-","/html/1/body/2/div/1/header/5/div/5","1","895x32|995x173"
"8","https://www.google.com/","1623871435125","mousemove","-","/html/1/body/2/div/1/header/5/div/5","1","888x35|987x177"
"8","https://www.google.com/","1623871435143","mousemove","-","/html/1/body/2/div/1/header/5/div/5","1","872x43|969x186"
"8","https://www.google.com/","1623871435160","mouseout","-","/html/1/body/2/div/1/header/5/div/5","1",""
"8","https://www.google.com/","1623871435161","mouseleave","-","/html/1/body/2/div/1/header/5/div/5","1","-"
"8","https://www.google.com/","1623871435162","mouseover","-","/html/1/body/2/div/1/header/5","1","-"
"8","https://www.google.com/","1623871435162","mouseenter","-","/html/1/body/2/div/1/header/5","1","-"
"8","https://www.google.com/","1623871435162","mousemove","-","/html/1/body/2/div/1/header/5","1","863x48|959x191"
"8","https://www.google.com/","1623871435176","mouseout","-","/html/1/body/2/div/1/header/5","1",""
"8","https://www.google.com/","1623871435177","mouseleave","-","/html/1/body/2/div/1/header/5","1","-"
"8","https://www.google.com/","1623871435177","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435177","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435178","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","819x69|910x215"
"8","https://www.google.com/","1623871435193","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1","1",""
"8","https://www.google.com/","1623871435193","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435193","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1","-"
"8","https://www.google.com/","1623871435193","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1","-"
"8","https://www.google.com/","1623871435194","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1","795x81|883x229"
"0","-","1623871435195","unload","-","-","-","-"
"8","https://www.google.com/","1623871435210","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1","746x107|829x257"
"8","https://www.google.com/","1623871435227","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1",""
"8","https://www.google.com/","1623871435227","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/div/1/div/1/h1/1","1","-"
"8","https://www.google.com/","1623871435227","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435227","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435228","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","724x117|804x269"
"8","https://www.google.com/","1623871435243","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1","1",""
"8","https://www.google.com/","1623871435243","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1","1","-"
"8","https://www.google.com/","1623871435244","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/13/a/1","1","-"
"8","https://www.google.com/","1623871435244","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/13/a/1","1","-"
"8","https://www.google.com/","1623871435244","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/13/a/1","1","694x131|772x284"
"8","https://www.google.com/","1623871435259","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/13/a/1","1",""
"8","https://www.google.com/","1623871435259","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/13/a/1","1","-"
"8","https://www.google.com/","1623871435259","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871435260","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871435261","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","676x139|752x293"
"8","https://www.google.com/","1623871435276","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1",""
"8","https://www.google.com/","1623871435276","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1","1","-"
"8","https://www.google.com/","1623871435277","mouseover","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1","-"
"8","https://www.google.com/","1623871435278","mouseenter","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1","-"
"8","https://www.google.com/","1623871435278","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1","662x146|735x300"
"8","https://www.google.com/","1623871435293","mousemove","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1","647x153|719x309"
"8","https://www.google.com/","1623871435310","mouseout","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1",""
"8","https://www.google.com/","1623871435310","mouseleave","-","/html/1/body/2/div/9/div/1/main/1/div/1/nav/5/ul/1/li/11/a/1/span/3","1","-"
